exp_date,52W_high,52W_low,52W_pct_chg,futures_price,implied_rate
1988-10-31,91.79,91.69,-0.04,91.71,8.290000000000006
1988-11-30,91.79,91.55,-0.04,91.66,8.340000000000003
1988-12-30,91.54,90.89,-0.15,91.2,8.799999999999997
1989-01-31,91.59,90.76,-0.54,90.88,9.120000000000005
1989-02-28,91.75,90.62,-0.9,90.63,9.370000000000005
1989-03-31,91.76,90.01,-1.42,90.14,9.86
1989-04-28,91.69,89.57,-1.67,90.16,9.840000000000003
1989-05-31,91.1,89.37,-0.82,90.2,9.799999999999997
1989-06-30,91.75,89.2,-1.02,90.46,9.540000000000006
1989-07-31,90.8,89.18,0.02,90.77,9.230000000000004
1989-08-31,91.32,89.15,1.32,91.01,8.989999999999995
1989-09-29,91.66,89.13,1.26,90.97,9.030000000000001
1989-10-31,91.91,90.1,0.95,91.16,8.840000000000003
1989-11-30,92.0,91.04,0.18,91.45,8.549999999999997
1989-12-29,92.02,91.02,0.05,91.45,8.549999999999997
1990-01-31,91.97,91.2,0.27,91.77,8.230000000000004
1990-02-28,92.08,91.32,0.49,91.77,8.230000000000004
1990-03-30,92.17,91.3,0.15,91.72,8.280000000000001
1990-04-30,92.2,91.63,-0.25,91.74,8.260000000000005
1990-05-31,92.12,91.59,-0.29,91.82,8.180000000000007
1990-06-29,92.12,91.44,-0.42,91.72,8.280000000000001
1990-07-31,92.21,91.34,-0.38,91.85,8.150000000000006
1990-08-31,92.11,91.26,0.39,91.87,8.129999999999995
1990-09-28,92.31,91.2,0.07,91.81,8.189999999999998
1990-10-31,92.33,91.85,-0.02,91.93,8.069999999999993
1990-11-30,92.36,91.86,0.29,92.19,7.810000000000002
1990-12-31,92.64,91.82,0.85,92.64,7.359999999999999
1991-01-31,93.47,92.03,0.97,93.09,6.909999999999997
1991-02-28,93.81,92.16,1.68,93.77,6.230000000000004
1991-03-28,93.85,92.4,1.53,93.81,6.189999999999998
1991-04-30,94.14,92.7,1.48,94.09,5.909999999999997
1991-05-31,94.23,92.71,1.63,94.22,5.780000000000001
